,Sample.Name,COSMIC.identifier,Whole.Exome.Sequencing..WES.,Copy.Number.Alterations..CNA.,Gene.Expression,Methylation,Drug.Response,GDSC.Tissue.descriptor.1,GDSC.Tissue.descriptor.2,Cancer.Type..matching.TCGA.label.,Microsatellite..instability.Status..MSI.,Screen.Medium,Growth.Properties,cellid,tissueid
NCI-H23,NCI-H23,905942,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H23,lung
MHH-CALL-4,MHH-CALL-4,908133,Y,Y,Y,Y,N,leukemia,B_cell_leukemia,,MSS/MSI-L,R,Suspension,MHH-CALL-4,haematopoietic_and_lymphoid_tissue
AGS,AGS,906790,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Adherent,AGS,stomach
TGBC24TKB,TGBC24TKB,910695,Y,Y,Y,Y,Y,digestive_system,biliary_tract,,MSS/MSI-L,D/F12,Adherent,TGBC24TKB,biliary_tract
BC-1,BC-1,910919,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,BC-1,haematopoietic_and_lymphoid_tissue
BICR 22,BICR22,1240121,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,BICR 22,upper_aerodigestive_tract
KGN,KGN,924186,Y,Y,Y,Y,Y,urogenital_system,ovary,,MSS/MSI-L,D/F12,Adherent,KGN,ovary
U-87-MG,U-87-MG,687590,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,U-87-MG,central_nervous_system
SK-MEL-3,SK-MEL-3,909724,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,SK-MEL-3,skin
RPMI-8226,RPMI-8226,905964,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,RPMI-8226,haematopoietic_and_lymphoid_tissue
NCI-H522,NCI-H522,905944,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H522,lung
MC-CAR,MC-CAR,683665,Y,Y,Y,Y,Y,myeloma,haematopoietic_neoplasm other,MM,MSS/MSI-L,D/F12,Suspension,MC-CAR,haematopoietic_and_lymphoid_tissue
LC-1F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC-1F,lung
H2595,H2595,1240132,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent,H2595,lung
CTB-1,CTB-1,949088,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,CTB-1,haematopoietic_and_lymphoid_tissue
LC4-1,LC4-1,907787,Y,Y,Y,Y,Y,leukemia,lymphoblastic_leukemia,ALL,MSS/MSI-L,R,Suspension,LC4-1,haematopoietic_and_lymphoid_tissue
UMC-11,UMC-11,909779,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_carcinoid,,MSS/MSI-L,D/F12,Adherent,UMC-11,lung
IM-9,IM-9,753563,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,IM-9,haematopoietic_and_lymphoid_tissue
Panc 03.27,PANC-03-27,925346,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent,Panc 03.27,pancreas
NCI-H835,NCI-H835,753607,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_carcinoid,,MSS/MSI-L,R,Suspension,NCI-H835,lung
TGW,TGW,910780,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,TGW,autonomic_ganglia
EW-12,EW-12,949162,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Suspension,EW-12,bone
MPP-89,MPP-89,908150,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,D/F12,Adherent,MPP-89,pleura
C8166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C8166,haematopoietic_and_lymphoid_tissue
DOHH-2,DOHH-2,906842,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,DOHH-2,haematopoietic_and_lymphoid_tissue
LU-165,LU-165,753589,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,LU-165,lung
WM-266-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WM-266-4,skin
KYSE-50,KYSE-50,1298222,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,KYSE-50,oesophagus
PCI-38,PCI-38,1240205,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent,PCI-38,head_and_neck
NCI-H647,NCI-H647,1240191,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_not specified,,MSS/MSI-L,R,Adherent,NCI-H647,lung
NCI-H1436,NCI-H1436,908469,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,NCI-H1436,lung
RCC-ER,RCC-ER,1524417,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,RCC-ER,kidney
IGR-1,IGR-1,907169,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,IGR-1,skin
CHP-134,CHP-134,910941,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Suspension,CHP-134,autonomic_ganglia
ESO26,ESO26,1503366,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,ESO26,oesophagus
LS-1034,LS-1034,917486,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent,LS-1034,large_intestine
SCaBER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SCaBER,urinary_tract
HeLaSF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HeLaSF,cervix
OC-314,OC-314,909257,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSI-H,R,Adherent,OC-314,ovary
NB69,NB69,908440,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,NB69,autonomic_ganglia
CADO-ES1,CADO-ES1,753539,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Suspension,CADO-ES1,bone
OCI-AML5,OCI-AML5,1330983,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,D/F12,Suspension,OCI-AML5,haematopoietic_and_lymphoid_tissue
NCI-H2030,NCI-H2030,722045,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H2030,lung
CAL-72,CAL-72,906827,Y,Y,Y,Y,Y,bone,osteosarcoma,,MSS/MSI-L,D/F12,Adherent,CAL-72,bone
Hs 944.T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hs 944.T,skin
LOUCY,LOUCY,907789,Y,Y,Y,Y,Y,leukemia,lymphoblastic_T_cell_leukaemia,ALL,MSS/MSI-L,R,Suspension,LOUCY,haematopoietic_and_lymphoid_tissue
TE-6,TE-6,946355,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,TE-6,oesophagus
HDQ-P1,HDQ-P1,1290922,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,HDQ-P1,breast
NCI-H1993,NCI-H1993,908476,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H1993,lung
no-10,no-10,908452,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent,no-10,central_nervous_system
JHOS-2,JHOS-2,1479995,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent,JHOS-2,ovary
MM1-S,MM1S,1659818,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,MM1-S,haematopoietic_and_lymphoid_tissue
SK-MEL-1,SK-MEL-1,909723,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Suspension,SK-MEL-1,skin
COLO-320,COLO-320-HSR,910569,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Suspension,COLO-320,large_intestine
HCC1806,HCC1806,907047,Y,Y,Y,Y,Y,breast,breast,,MSS/MSI-L,R,Adherent,HCC1806,breast
GB-1,GB-1,687568,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,GB-1,central_nervous_system
TCCSUP,TCCSUP,687459,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,TCCSUP,urinary_tract
IST-SL2,IST-SL2,753565,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,IST-SL2,lung
NCI-H1155,NCI-H1155,908467,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,D/F12,Suspension,NCI-H1155,lung
NTERA-S-cl-D1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NTERA-S-cl-D1,testis
COLO-205,COLO-205,905961,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Suspension,COLO-205,large_intestine
ChaGo-K-1,ChaGo-K-1,687596,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_not specified,UNABLE TO CLASSIFY,MSS/MSI-L,R,Adherent,ChaGo-K-1,lung
Hs 683,Hs683,1240150,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent,Hs 683,central_nervous_system
GT3TKB,GT3TKB,907041,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Adherent,GT3TKB,stomach
SU-DHL-10,SU-DHL-10,1331033,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,SU-DHL-10,haematopoietic_and_lymphoid_tissue
IMR-5,IMR-5,907170,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent,IMR-5,autonomic_ganglia
NCI-H1781,NCI-H1781,1298350,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H1781,lung
SCC-4,SCC-4,910904,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,SCC-4,upper_aerodigestive_tract
YT,YT,946358,Y,Y,Y,Y,Y,lymphoma,lymphoid_neoplasm other,ALL,MSS/MSI-L,D/F12,Suspension,YT,haematopoietic_and_lymphoid_tissue
BFTC-905,BFTC-905,910926,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,BFTC-905,urinary_tract
DJM-1,DJM-1,906841,Y,Y,Y,Y,Y,skin,skin_other,,MSS/MSI-L,D/F12,Adherent,DJM-1,skin
HCC1428,HCC1428,1290905,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,HCC1428,breast
MKN7,MKN7,924250,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSS/MSI-L,R,Adherent,MKN7,stomach
SK-MEL-28,SK-MEL-28,905954,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,SK-MEL-28,haematopoietic_and_lymphoid_tissue
JeKo-1,JEKO-1,1327765,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,JeKo-1,haematopoietic_and_lymphoid_tissue
OE21,OE21,1298359,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,OE21,upper_aerodigestive_tract
NCI-H1975,NCI-H1975,924244,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H1975,lung
SK-GT-4,SK-GT-4,1503365,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,SK-GT-4,oesophagus
H2804,H2804,1240136,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent,H2804,pleura
EFO-27,EFO-27,906852,Y,Y,Y,Y,Y,urogenital_system,ovary,,MSI-H,R,Adherent,EFO-27,ovary
HuH-7,HuH-7,907071,Y,Y,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent,HuH-7,liver
SU-DHL-1,SU-DHL-1,909742,Y,Y,Y,Y,Y,lymphoma,anaplastic_large_cell_lymphoma,,MSS/MSI-L,R,Suspension,SU-DHL-1,haematopoietic_and_lymphoid_tissue
JHU-022,JHU-022,1240162,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent,JHU-022,head_and_neck
OS-RC-2,OS-RC-2,909250,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent,OS-RC-2,kidney
SW982,SW982,909759,Y,Y,Y,Y,Y,soft_tissue,soft_tissue_other,,MSS/MSI-L,D/F12,Adherent,SW982,soft_tissue
RWPE2-W99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RWPE2-W99,prostate
EW-1,EW-1,949163,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Semi-Adherent,EW-1,bone
HT-3,HT-3,907068,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,R,Adherent,HT-3,cervix
MEC-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MEC-1,haematopoietic_and_lymphoid_tissue
T84,T84,909761,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent,T84,large_intestine
I-9-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I-9-2,haematopoietic_and_lymphoid_tissue
NCI-H187,NCI-H187,688007,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H187,lung
SF126,SF126,909712,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,SF126,central_nervous_system
SNG-M,SNG-M,909735,Y,Y,Y,Y,Y,urogenital_system,endometrium,UCEC,MSI-H,D/F12,Adherent,SNG-M,endometrium
NCI-H1770,NCI-H1770,687804,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_not specified,UNABLE TO CLASSIFY,MSS/MSI-L,D/F12,Suspension,NCI-H1770,lung
NB6,NB6,949173,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,NB6,autonomic_ganglia
RCC-JF,RCC-JF,1524415,Y,Y,Y,N,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,RCC-JF,kidney
NCI-H446,NCI-H446,688023,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Semi-Adherent,NCI-H446,lung
JVM-2,JVM-2,907269,Y,Y,Y,Y,Y,lymphoma,lymphoid_neoplasm other,CLL,MSS/MSI-L,R,Suspension,JVM-2,haematopoietic_and_lymphoid_tissue
TK10,TK10,905980,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent,TK10,kidney
TK,TK,1331045,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,TK,haematopoietic_and_lymphoid_tissue
DBTRG-05MG,DBTRG-05MG,906835,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,R,Adherent,DBTRG-05MG,central_nervous_system
KP-N-YN,KP-N-YN,907314,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent,KP-N-YN,autonomic_ganglia
KARPAS-45,KARPAS-45,907272,Y,Y,Y,Y,Y,leukemia,lymphoblastic_leukemia,ALL,MSS/MSI-L,R,Suspension,KARPAS-45,haematopoietic_and_lymphoid_tissue
PA-TU-8902,PA-TU-8902,1298526,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent,PA-TU-8902,pancreas
ES6,ES6,949157,Y,Y,Y,N,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent,ES6,bone
L-428,L-428,907322,Y,Y,Y,Y,Y,lymphoma,Hodgkin_lymphoma,,MSS/MSI-L,R,Suspension,L-428,haematopoietic_and_lymphoid_tissue
OCI-AML3,OCI-AML3,1290455,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension,OCI-AML3,haematopoietic_and_lymphoid_tissue
Daudi,Daudi,906831,Y,Y,Y,Y,Y,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension,Daudi,haematopoietic_and_lymphoid_tissue
HCC38,HCC38,749717,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,HCC38,breast
CW-2,CW-2,910554,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSI-H,R,Adherent,CW-2,large_intestine
RL95-2,RL95-2,930082,Y,Y,Y,N,Y,urogenital_system,endometrium,,MSI-H,D/F12,Adherent,RL95-2,endometrium
GDM-1,GDM-1,906870,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension,GDM-1,haematopoietic_and_lymphoid_tissue
NCI-H2087,NCI-H2087,724834,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Semi-Adherent,NCI-H2087,lung
KYSE-220,KYSE-220,1240167,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,KYSE-220,oesophagus
MDA-MB-436,MDA-MB-436,1240172,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,MDA-MB-436,breast
MOLM-16,MOLM-16,1330948,Y,Y,Y,N,Y,leukemia,acute_myeloid_leukaemia,LAML,,R,Suspension,MOLM-16,haematopoietic_and_lymphoid_tissue
GA-10-Clone-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GA-10-Clone-4,haematopoietic_and_lymphoid_tissue
HO-1-u-1,HO-1-u-1,753561,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,HO-1-u-1,upper_aerodigestive_tract
M00921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M00921,skin
D-423MG,D-423MG,946372,Y,Y,Y,N,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,D-423MG,central_nervous_system
CAL-62,CAL-62,906828,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,D/F12,Adherent,CAL-62,thyroid
8505C,8505C,924102,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,R,Adherent,8505C,thyroid
SW626,SW626,909753,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent,SW626,ovary
JM1,JM1,1327768,Y,Y,Y,N,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,D/F12,Suspension,JM1,haematopoietic_and_lymphoid_tissue
TASK1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TASK1,other
CML-T1,CML-T1,910951,Y,Y,Y,Y,Y,leukemia,chronic_myeloid_leukaemia,LCML,MSS/MSI-L,D/F12,Suspension,CML-T1,haematopoietic_and_lymphoid_tissue
DMS-273,DMS-273,687985,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent,DMS-273,lung
M059J,M059J,949094,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,M059J,central_nervous_system
CHSA0108,CHSA0108,1290768,Y,Y,Y,N,Y,bone,chondrosarcoma,,,R,Adherent,CHSA0108,bone
CL-34,CL-34,1290771,Y,Y,Y,N,Y,large_intestine,large_intestine,COAD/READ,,D/F12,Adherent,CL-34,large_intestine
SNU-C1,SNU-C1,910905,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Suspension,SNU-C1,large_intestine
NB1,NB1,949179,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Semi-Adherent,NB1,autonomic_ganglia
SCC90,SCC90,1299052,Y,Y,Y,N,Y,aero_dig_tract,head and neck,HNSC,,R,Adherent,SCC90,upper_aerodigestive_tract
HCC1599,HCC1599,749713,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Suspension,HCC1599,breast
TE-4,TE-4,1503371,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,TE-4,oesophagus
HEY,Hey,1479988,Y,Y,Y,N,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent,HEY,ovary
TGBC1TKB,TGBC1TKB,909769,Y,Y,Y,Y,Y,digestive_system,biliary_tract,,MSS/MSI-L,D/F12,Adherent,TGBC1TKB,biliary_tract
MSTO-211H,MSTO-211H,908152,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent,MSTO-211H,pleura
NOS-1,NOS-1,925345,Y,Y,Y,Y,Y,bone,osteosarcoma,,MSS/MSI-L,R,Adherent,NOS-1,bone
RCH-ACV,RCH-ACV,1330994,Y,Y,Y,Y,Y,leukemia,B_cell_leukemia,,MSS/MSI-L,R,Suspension,RCH-ACV,haematopoietic_and_lymphoid_tissue
SJSA-1,SJSA-1,909717,Y,Y,Y,Y,Y,bone,bone_other,,MSS/MSI-L,R,Adherent,SJSA-1,bone
SU-DHL-16,SU-DHL-16,1331034,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,SU-DHL-16,haematopoietic_and_lymphoid_tissue
GRANTA-519,GRANTA-519,1303897,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,D/F12,Suspension,GRANTA-519,haematopoietic_and_lymphoid_tissue
K2,K2,1298160,Y,Y,Y,N,Y,skin,melanoma,SKCM,,D/F12,Adherent,K2,thyroid
KG-1,KG-1,907278,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,D/F12,Suspension,KG-1,haematopoietic_and_lymphoid_tissue
K-562,K-562,905940,Y,Y,Y,Y,Y,leukemia,chronic_myeloid_leukaemia,LCML,MSS/MSI-L,D/F12,Suspension,K-562,haematopoietic_and_lymphoid_tissue
NCI-H292,NCI-H292,753604,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,,MSS/MSI-L,R,Adherent,NCI-H292,lung
MN-60,MN-60,908143,Y,Y,Y,Y,Y,leukemia,B_cell_leukemia,,MSI-H,D/F12,Suspension,MN-60,haematopoietic_and_lymphoid_tissue
DOV13,DOV13,1479987,Y,Y,Y,N,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent,DOV13,ovary
KM12,KM12,905989,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSI-H,R,Adherent,KM12,large_intestine
NCI-H720,NCI-H720,687600,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_carcinoid,,MSS/MSI-L,D/F12,Suspension,NCI-H720,lung
NCC010,NCC010,1509073,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent,NCC010,kidney
VMRC-RCZ,VMRC-RCZ,909781,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,VMRC-RCZ,kidney
NCI-H345,NCI-H345,688021,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,NCI-H345,lung
KARPAS-1106P,KARPAS-1106P,1327773,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,KARPAS-1106P,haematopoietic_and_lymphoid_tissue
LB771-HNC,LB771-HNC,753583,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,LB771-HNC,upper_aerodigestive_tract
CP50-MEL-B,CP50-MEL-B,753545,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,CP50-MEL-B,skin
Panc 04.03,PANC-04-03,1298476,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent,Panc 04.03,pancreas
C-4 I,C-4-I,687506,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent,C-4 I,cervix
LB1047-RCC,LB1047-RCC,753577,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSI-H,D/F12,Adherent,LB1047-RCC,kidney
Hs-445,Hs-445,1322218,Y,Y,Y,Y,Y,lymphoma,Hodgkin_lymphoma,,MSS/MSI-L,R,Suspension,Hs-445,haematopoietic_and_lymphoid_tissue
KU-19-19,KU-19-19,907312,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,R,Adherent,KU-19-19,urinary_tract
NCI-H1876,NCI-H1876,1330972,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent,NCI-H1876,lung
ACN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACN,autonomic_ganglia
U-2-OS,U-2-OS,909776,Y,Y,Y,Y,Y,bone,osteosarcoma,,MSS/MSI-L,R,Adherent,U-2-OS,bone
OV56,OV-56,1480362,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent,OV56,ovary
NCI-H2122,NCI-H2122,722046,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H2122,lung
OVTOKO,OVTOKO,1298365,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent,OVTOKO,ovary
FLO-1,FLO-1,1503361,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,FLO-1,oesophagus
KMS-11,KMS-11,1659817,Y,Y,Y,N,Y,myeloma,myeloma,MM,,R,Suspension,KMS-11,haematopoietic_and_lymphoid_tissue
ESS-1,ESS-1,907000,Y,Y,Y,Y,Y,urogenital_system,endometrium,,MSS/MSI-L,R,Adherent,ESS-1,endometrium
